Question,Answer
"What is Black Iron Athletics?","Black Iron Athletics is a veteran-owned gym located in Frisco, TX, founded in 2013 by Mike Manning. We offer coach-led group training, Olympic weightlifting, HYROX training, personal training, nutrition coaching, and open gym access. Over 3,000 members have trained here and we hold a 5.0 star Google rating."
"Is Black Iron Athletics a CrossFit gym?","No. Black Iron Athletics is not affiliated with CrossFit. We offer similar functional fitness and group training but operate independently with our own programming and coaching methodology."
"Where is Black Iron Athletics located?","279 Main St #122, Frisco, TX 75036. We serve Frisco, Prosper, The Colony, Little Elm, McKinney, Plano, Celina, and North Dallas."
"What is your phone number?","(972) 785-7036"
"What is your email address?","mike@blackironathletics.com"
"What are your hours?","Coach-led classes run throughout the day. Check our schedule at https://www.blackironathletics.com/schedule for current class times. Open Gym members have access 7 days a week, between classes and after hours."
"What is Open Gym?","Open Gym gives you access to the Black Iron Athletics facility between classes and after hours, 7 days a week. It is not available during class times. Entry is simple and secure with key fob access, and the facility is climate-controlled and well-maintained. You can also follow our structured programming at your own pace."
"Is Open Gym available 24/7?","No. Open Gym is available 7 days a week, but only between classes and after hours. If a class is in session, the facility is reserved for that class. Check our schedule for class times."
"Who is the owner?","Mike Manning is the Owner and Head Coach. He founded Black Iron Athletics in 2013 because he missed the feeling of being part of a team and community that pushed each other to show up and be better. The gym is veteran-owned."
"Who are the coaches?","Our coaching staff includes Mike Manning (Owner and Head Coach), Kristin (General Manager), Aileen, Evan, Amber, and Emily."
"What programs do you offer?","We offer Group Training (Strength and Conditioning), Olympic Weightlifting, HYROX Training, Personal Training, Nutrition Coaching, and Open Gym access."
"What is Group Training?","High-energy, coach-led classes for all fitness levels. Every class includes structured warm-ups, skill work, strength programming, and conditioning. All movements are scaled to each individual's ability. No experience required."
"What is Olympic Weightlifting?","Dedicated classes focused on the snatch, clean and jerk. Technique-focused coaching for beginners through advanced lifters."
"What is HYROX Training?","Specialized training for HYROX race preparation. Combines functional fitness with race-specific conditioning."
"What is Personal Training?","1-on-1 coaching with customized programming, individual accountability, nutrition guidance, and monthly body composition scans."
"Do you offer nutrition coaching?","Yes. Our nutrition coaching program includes personalized macro targets, the FuelPath food tracking tool, barcode scanning, daily compliance tracking, and ongoing coach support. We also offer a free Macro Calculator at https://www.blackironathletics.com/macro-calculator."
"Can I do nutrition coaching without a gym membership?","Yes, nutrition coaching is available as a standalone service."
"What membership options do you offer?","We offer four plans: Standard (3x/week), Unlimited + Open Gym (most popular), Personal Training, and Open Gym Only. Visit https://www.blackironathletics.com/getting-started for details."
"What is the Standard membership?","The Standard plan includes 3 coach-led classes per week in Strength and Conditioning, Olympic Weightlifting, and HYROX, plus a monthly body composition scan and community events."
"What is the Unlimited + Open Gym membership?","Our most popular plan. It includes unlimited coach-led classes, Open Gym access 7 days a week between classes and after hours, private gym access, all class types, monthly body composition scans, and community events."
"What is the Open Gym Only membership?","Open Gym access 7 days a week between classes and after hours, private gym access, and access to all our structured programming for self-directed training."
"What is the Personal Training membership?","1-on-1 coaching sessions with customized programming, individual accountability, nutrition guidance, monthly body composition scans, and community events."
"How much does a membership cost?","Pricing is personalized based on your goals and selected plan. Book a free consultation to discuss options: https://www.blackironathletics.com/book"
"How do I get started?","Three easy steps: 1) Book a free consultation to meet with a coach and discuss your goals (20 minutes, no pressure). 2) We build a custom plan based on your fitness level and goals. 3) Start classes with full coaching support from day one. Book here: https://www.blackironathletics.com/book"
"How do I book a consultation?","You can book a free consultation at https://www.blackironathletics.com/book. It takes about 20 minutes and there is no pressure to sign up."
"Is Black Iron Athletics beginner-friendly?","Yes. Every workout is scaled to your ability. Coaches are present in every class to guide your movements and modify exercises. Many members start with zero gym experience."
"Do I need to be in shape to start?","No. Getting in shape first is not necessary. Our coaches scale every workout to your current level. We have helped people start who have not exercised in years."
"What should I expect on my first day?","You will meet your coach, tour the facility, and go through an introductory session. Everything is scaled to your level and coaches guide you through every movement."
"How often should I work out?","We recommend 3-5 times per week depending on your goals, but you can start with whatever frequency fits your schedule."
"What makes Black Iron different from other gyms?","Every session is coach-led with real programming, not random workouts. We combine training and nutrition under one roof. Our community holds each other accountable. We are veteran-owned with a culture built on discipline, respect, and showing up."
"Do you offer a day pass?","Yes! For $25 you can try any class you would like before joining. If you sign up, we will credit that towards your first month."
"What is your cancellation policy?","We require 30 days written notice to cancel your membership."
"Do you offer military or first responder discounts?","Yes! As a veteran-owned gym, we proudly support those who serve. Ask us about our military and first responder pricing."
"Is the gym climate controlled?","Yes. AC in summer, heat in winter. You will train in comfort year-round."
"Do you have parking?","Yes, free parking is available right outside our facility."
"What equipment do you have?","Full range: barbells, dumbbells, kettlebells, squat racks, rigs, rowers, bikes, ski ergs, and more."
"What are macros?","Macronutrients: protein, carbohydrates, and fat. Tracking macros gives you more control over body composition than tracking calories alone."
"What is TDEE?","Total Daily Energy Expenditure. It is the total number of calories your body burns in a day, including exercise. Our free Macro Calculator helps you estimate your TDEE and set macro targets: https://www.blackironathletics.com/macro-calculator"
"Do you track progress?","Yes. We use Wodify to track workouts and PRs, and offer monthly body composition scans to measure real progress."
"How soon will I see results?","Most members notice improvements in energy and confidence within 2 weeks. Visible body composition changes typically come within 4-8 weeks with consistent training and nutrition."
"What is FuelPath?","FuelPath is our nutrition tracking tool built for Black Iron Athletics members. It includes food search, barcode scanning, daily macro tracking with compliance scores, streak tracking, and achievements to keep you motivated."
"Where can I find the class schedule?","You can view our current class schedule at https://www.blackironathletics.com/schedule"
"Do you have a blog?","Yes! We publish fitness and nutrition articles at https://www.blackironathletics.com/blog"
"How can I contact you?","You can reach us by phone at (972) 785-7036, by email at mike@blackironathletics.com, or visit us at 279 Main St #122, Frisco, TX 75036."
"Do you sell supplements?","Yes. We partner with Thorne, whose products are NSF Certified for Sport. You can browse and purchase through our Thorne partner store at https://www.thorne.com/u/blackiron. We only recommend products we use and trust."
"What supplements do you recommend?","We recommend a Year-Round Foundation Stack of four Thorne products: Whey Protein (1-2 servings/day), Multivitamin (as directed), BCAAs (1-2 servings/day), and Creatine (5g daily). All are NSF Certified for Sport. Shop our full Thorne catalog at https://www.thorne.com/u/blackiron"
"What is the Year-Round Foundation Stack?","Four Thorne supplements we recommend regardless of your training phase: 1) Whey Protein - helps you hit your daily protein target, fast-absorbing post-workout or between meals. 2) Multivitamin - covers micronutrient gaps, supports immune function and energy. 3) BCAAs - supports muscle recovery and reduces soreness. 4) Creatine - supports strength, power output, and muscle hydration. Shop at https://www.thorne.com/u/blackiron"
"Should I take creatine?","Yes. Creatine monohydrate is the most researched supplement in sports nutrition. It supports strength, power output, and muscle hydration. We recommend 5g daily year-round, with adjustments during specific FuelPath phases. We recommend Thorne Creatine because it is NSF Certified for Sport. Shop at https://www.thorne.com/u/blackiron"
"What is the FuelPath supplement protocol?","FuelPath uses a 4-phase annual nutrition cycle with phase-specific supplement adjustments. Phases 1 and 3 (Baseline and Maintain): Follow the foundation stack as-is with creatine at 5g daily. Phase 2 (Cut): Stop creatine (it causes water retention that masks fat loss) and add Thorne Weight Management Stack. Phase 4 (Build): Restart creatine at 10g daily and add Glutamine 5g daily for recovery. Learn more at https://www.blackironathletics.com/fuelpath-supplements"
"What supplements should I take during a cut?","During Phase 2 (Cut), stop creatine because it causes water retention that can mask fat loss on the scale. Add the Thorne Weight Management Stack for metabolic support during a caloric deficit. Continue Whey Protein, Multivitamin, and BCAAs as usual. Shop at https://www.thorne.com/u/blackiron"
"What supplements should I take during a bulk or building phase?","During Phase 4 (Build), restart creatine at 10g daily (double the normal dose) to maximize muscle hydration and strength during your surplus. Add Glutamine at 5g daily to support recovery and gut health during higher training volume. Continue Whey Protein, Multivitamin, and BCAAs. Shop at https://www.thorne.com/u/blackiron"
"Why do you recommend Thorne?","Every Thorne product is NSF Certified for Sport, meaning it has been independently tested for purity, potency, and banned substances. This matters whether you are a competitive athlete or just someone who wants to know exactly what is in their supplement. Black Iron Athletics is a Thorne affiliate partner. Shop at https://www.thorne.com/u/blackiron"
"Where can I buy supplements?","You can shop our recommended Thorne supplements at https://www.thorne.com/u/blackiron. All products are NSF Certified for Sport. You can also find specific product recommendations on our supplements page at https://www.blackironathletics.com/fuelpath-supplements"
"What is the FuelPath 4-Phase system?","FuelPath is our annual nutrition framework with 4 phases: Phase 1 Baseline (Jan-Mar) establishes your maintenance calories, Phase 2 Cut (Apr-Jun) creates a caloric deficit for fat loss, Phase 3 Maintain (Jul-Sep) locks in your new body composition, and Phase 4 Build (Oct-Dec) adds a caloric surplus for muscle growth. Each phase has specific macro targets, supplement adjustments, and hydration protocols. Learn more at https://www.blackironathletics.com/fuelpath"
"How much water should I drink?","Hydration needs vary by phase and activity level. Electrolytes (sodium, potassium, and magnesium) are just as important as water volume, especially during cutting phases when overall food and mineral intake is lower. If you feel flat, crampy, or low energy despite drinking enough water, electrolytes are the first thing to check. Details at https://www.blackironathletics.com/fuelpath-supplements"
"Do you have a macro calculator?","Yes! Our free Macro Calculator helps you estimate your TDEE and set personalized macro targets for protein, carbs, and fat based on your goals. Try it at https://www.blackironathletics.com/macro-calculator"
"What is the best protein powder?","We recommend Thorne Whey Protein. It is NSF Certified for Sport, fast-absorbing, and great post-workout or between meals. It helps you hit your daily protein target, which is the most important macro in every phase. Shop at https://www.thorne.com/u/blackiron"
"What should I wear to class?","Athletic clothes and shoes you can move in. Cross-training shoes work best. Bring a water bottle. We provide everything else."
"What should I bring to my first class?","Just athletic clothes, cross-training shoes, and a water bottle. We provide everything else. Show up a few minutes early so you can meet your coach and get oriented."
"How long are classes?","Classes are approximately 60 minutes long, including warm-up, skill or strength work, conditioning, and cool-down."
"What does a typical class look like?","Every class is about 60 minutes and follows a structured format: warm-up, skill or strength work, conditioning (the workout), and cool-down. Your coach leads you through the entire session and scales movements to your ability level."
"Can I bring a friend to try a class?","Yes! Guests are welcome to try a class with a $25 day pass. If they sign up for a membership, we credit that $25 towards their first month."
"How big are your classes?","We keep class sizes small so coaches can give everyone personal attention and ensure safe, effective training."
"Can I train with an injury?","Yes. Our coaches are experienced at working around injuries and limitations. Every movement has a modification or substitution so you can train safely while you recover. Just let your coach know before class."
"Is there an age requirement?","Members must be 16 or older. Athletes aged 16-17 can join with parental consent."
"Do you have showers or locker rooms?","Showers, changing rooms, and lockers are coming soon. Stay tuned for updates."
"What are your holiday hours?","Holiday hours vary. Check our class calendar at https://www.blackironathletics.com/schedule for the most up-to-date schedule."
"What is Wodify?","Wodify is the app we use for class scheduling, membership management, and workout tracking. Members use it to book classes, log workouts, and track personal records (PRs)."
"How do I book a class?","Members book classes through the Wodify app. Once you have a membership, you will get access to Wodify where you can view the schedule and reserve your spot in any class."
"What are body composition scans?","Monthly body composition scans are included with all memberships. They measure your body fat percentage, muscle mass, and other metrics so you can track real progress beyond just the scale."
"Do you have a referral program?","Yes! We have a referral program for current members. Ask us for details."
"What community events do you host?","Community events are included with all memberships. We host events throughout the year to bring our members together outside of training."
"How is Black Iron different from a big box gym?","At a big box gym you are on your own. At Black Iron, every session is coach-led with structured programming. You get personal attention, accountability, community, and real results. We also combine training and nutrition under one roof."
"How is Black Iron different from CrossFit?","Black Iron Athletics is not a CrossFit affiliate. We offer similar functional fitness and group training but operate independently with our own programming and coaching methodology. You get the same community-driven, high-intensity training without the CrossFit branding or affiliation fees."
"Do you offer online or remote coaching?","We offer nutrition coaching that can be done remotely. For training, our classes are in-person at our Frisco facility."
